OBJNUMBER,"Merger/Pair(<0.5"")",Off-Center,"Nearby(0.5""<r<1"")",Irregular,"no/problematic(r<0.5"")",Comment/Question?
466002,0,1,1,0,0, elongated? group?
466005,0,0,0,0,0, elongated
466009,1,0,0,1,0, curved obj with small clumps
466011,1,0,0,0,0, pair
466017,0,0,0,0,0,
466021,1,0,0,0,0, small clump or maybe not merger
466024,0,0,0,0,1, cannot see clearly obj
466025,0,0,1,0,0, fuzzy/LSB
466026,0,0,0,0,0, 
466027,0,0,0,0,0, 
466028,0,0,0,0,1, no obj
466034,0,1,0,0,0, compact/point-like obj
466042,0,1,1,0,0, faint/LSB
466049,0,1,0,0,1, very off-center; right obj?
466050,0,1,0,0,1, no clear matched obj
466056,1,0,0,0,0, pair
466058,1,1,1,0,0, pair or group; LSB
466059,0,0,1,0,0, compact obj
466060,0,0,0,0,1, no clear matched obj
466063,0,0,0,0,1, no clear matched obj
466065,1,1,0,0,0, pair
466069,1,0,1,0,0, pair and nearby
466070,0,0,1,0,0, compact with nearby
466075,0,1,1,1,0, elongated/LSB/offcenter/nearby large
466076,1,0,0,1,0, multi-clump obj
466077,0,0,0,0,0, very elongated/disk?
466078,0,1,1,0,0, 
466082,0,0,0,0,0, compact point-like obj
466090,0,1,1,0,0, compact/point-like/offcenter/nearby
466092,0,0,0,0,1, no clear matched obj
466095,1,0,0,0,0, faint nearby clump
466097,0,0,0,0,0, bright source
466108,0,0,0,0,1, no clear matched obj
466110,0,0,0,0,1, no clear matched obj/very offcenter?
466112,0,0,0,0,0, compact/point-like obj
466114,0,0,0,0,1, image problem
466116,0,0,1,0,0, elongated/nearby LSB
466117,0,1,0,0,0, compact/point-like/offcenter
466118,0,1,0,0,0, offcenter/multi tiny clumps?
466122,1,0,0,0,0, two clumps/merger/pair
466123,0,1,0,0,0, compact/point-like/offcenter
466126,0,0,1,0,0, nearby group/compact
466128,0,1,0,0,0, compact
466132,1,1,0,0,0, merger/pair
466143,0,1,0,0,0, very offcenter
466145,0,1,0,0,0, very offcenter or maybe mismatched?
466154,0,0,0,0,1, no clear matched obj
466155,0,1,0,0,0, offcenter/LSB
466156,0,0,0,0,1, image problem
466158,0,1,0,0,0, elongated/disky?
466162,0,0,0,0,0, compact
466164,0,0,0,0,0, elongated
466174,0,0,0,0,1, no clear matched obj
466175,0,0,0,0,0, compact
466178,1,0,1,0,0, two sources close to center/not sure which one
466179,0,0,0,0,1, no clear matched obj
466183,0,0,0,0,1, no clear matched obj/very fuzzy obj
466184,0,1,0,0,0, compact
466186,1,0,0,1,0, LSB substructure/merger
466187,1,0,0,0,0, elongated/clump disk/merger?
466190,0,0,0,0,1, no clear matched obj
466191,0,0,0,0,0, compact
466192,1,1,0,1,0, elongated/clump disk/merger?
466194,0,0,0,0,0, small/elongated
466195,0,0,0,0,1, no clear matched obj
466196,1,1,1,0,0, two obj close but offcenter
466198,0,1,0,0,0, compact/very offcenter
466208,0,0,0,0,0, clumpy disk/elongated
466210,0,0,0,0,0, small/LSB
466211,1,0,0,0,0, bright with a small companion
466212,0,0,1,0,0, 
470006,1,0,1,0,0, merger with a disk/in a group?
470008,1,0,1,0,0, merger/pair or nearby comp?
470010,1,0,0,0,0, merger/pair and LSB substructure
470011,1,0,1,0,0,
470013,1,0,0,0,0,
470017,0,0,0,0,0,
470019,0,0,0,0,0, LSB? multi clumpy structure?
470029,0,0,0,0,0, very faint and compact
470032,0,1,0,0,0, 
470034,1,0,0,0,0, elongated/two clumps?
470035,0,0,1,1,0, 
470036,0,0,0,0,1, empty image
470039,0,1,0,0,0, very offcenter/elongated
470041,0,0,0,0,0,
470049,0,0,0,0,0, very compact/faint/small
470056,0,0,0,0,1, no clear matched obj
470057,0,0,0,0,1, no clear matched obj
470075,0,0,1,0,0, compact/pair/nearby
470076,0,1,0,0,0, offcenter
470091,0,0,0,0,1, no clear matched obj
470093,0,0,0,0,0, bright/elongated/disk?
470101,0,0,0,0,0, a little offcenter
470105,0,0,0,0,1, no clear mathed obj/very faint?
470108,0,0,0,0,0, a little offcenter
470112,0,0,0,0,0, very faint tail structure
470129,0,0,0,0,0, very faint/small/little offcenter
470133,0,0,0,0,0, very diffuse/good match?
470136,0,0,0,0,0, very faint/small
470137,0,0,0,0,1, no clear matched obj
470139,0,0,0,0,0, bright/elongated/disk?
470142,0,0,0,0,0, very faint/small/compact
475002,0,0,0,0,0, compact wiht diffuse tial?
475003,1,1,0,0,0, pair/merger
475006,0,1,0,0,0, compact/offcenter
475009,1,0,0,0,0, pair/merger
475010,0,0,0,0,0, very compact/small
475012,0,0,0,0,0, very compact/small
475014,1,0,0,0,0,
475016,1,0,1,0,0, diffuse obj w/ three companion clumps
475026,0,0,0,0,0, the real obj maybe offcenter?
475031,0,0,0,0,0,
475033,0,0,0,0,0,
475039,0,0,0,0,1, no clear matched obj
475040,0,1,0,0,0, very offcenter
475053,0,0,0,0,0, small/compact
475067,0,0,0,0,0, small/compact/little offcenter
475075,0,0,1,0,0, small/compact/with nearby
475080,0,0,0,0,1, no clear matched obj
475083,0,1,0,0,0, offcenter
475087,0,0,0,0,0,
475091,0,0,0,0,1, no clear matched obj
475097,0,1,0,0,0, offcenter
475101,0,0,0,0,1, no clear matched obj
475102,0,1,0,0,0, very offcenter
475121,0,0,0,0,0, compac/small
